;University;Universitet;N;Lat;Long
1;Blekinge Institute of Technology;Blekinge tekniska högskola;53;56.1826;15.5909
2;Swedish Defence University;Försvarshögskolan;42;59.3393;18.0736
3;Swedish School of Sport and Health Sciences;Gymnastik- och idrottshögskolan;22;59.3481;18.0342
4;University of Gothenburg;Göteborgs universitet;1120;57.6965;11.9786
5;Dalarna University;Högskolan Dalarna;114;60.6128;15.6354
6;Kristianstad University;Högskolan Kristianstad;58;56.0313;14.1515
7;University West;Högskolan Väst;94;58.2739;12.2903
8;University of Borås;Högskolan i Borås;102;57.7210;12.9401
9;University of Gävle;Högskolan i Gävle;124;60.6769;17.1498
10;Halmstad University;Högskolan i Halmstad;92;56.6735;12.8580
11;University of Skövde;Högskolan i Skövde;79;58.3897;13.8443
12;Karlstad University;Karlstads universitet;208;59.4036;13.5793
13;Karolinska Institute;Karolinska institutet;913;59.3498;18.0312
14;University of Arts, Crafts and Design;Konstfack;7;59.3106;18.0278
15;Royal Institute of Art;Kungl. Konsthögskolan;1;59.3266;18.0792
16;Royal College of Music in Stockholm;Kungl. Musikhögskolan i Stockholm;14;59.3423;18.0734
17;KTH Royal Institute of Technology;Kungl. Tekniska högskolan;552;59.3473;18.0738
18;Linköping University;Linköpings universitet;833;58.3974;15.5765
19;Linnaeus University;Linnéuniversitetet;278;56.8790;14.8059
20;Luleå University of Technology;Luleå tekniska universitet;277;65.6170;22.1376
21;Lund University;Lunds universitet;1515;55.7118;13.2036
22;Malmö University;Malmö universitet;243;55.6067;13.0010
23;Mid Sweden University;Mittuniversitetet;142;62.3908;17.3069
24;Mälardalen University;Mälardalens högskola;126;59.6162;16.5528
25;Stockholm University of the Arts;Stockholms konstnärliga högskola;9;59.3285;18.0713
26;Stockholm University;Stockholms universitet;1011;59.3654;18.0575
27;Swedish University of Agricultural Sciences;Sveriges lantbruksuniversitet;592;59.8195;17.6497
28;Södertörn University;Södertörns högskola;145;59.2236;17.9435
29;Umeå University;Umeå universitet;751;63.8206;20.3032
30;Uppsala University;Uppsala universitet;1319;59.8586;17.6389
31;Örebro University;Örebro universitet;214;59.2469;15.2485
